sentence,label,split
The actors are fantastic .,very_positive,0
They are what makes it worth the trip to the theatre .,positive,0
"( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",very_positive,0
This is n't a new idea .,negative,0
It 's been done before but never so vividly or with so much passion .,very_positive,0
( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,positive,0
"It 's not life-affirming -- its vulgar and mean , but I liked it .",neutral,0
What `` Empire '' lacks in depth it makes up for with its heart .,positive,0
"Light , silly , photographed with colour and depth , and rather a good time .",very_positive,0
But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,positive,0
Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,positive,0
Their computer-animated faces are very expressive .,positive,0
"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",neutral,0
"... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )",positive,0
There 's an energy to Y Tu Mamá También .,positive,0
"Much of it comes from the brave , uninhibited performances by its lead actors .",very_positive,0
"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",neutral,0
`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,positive,0
"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",neutral,0
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',very_negative,0
"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",positive,0
`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',positive,0
Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,negative,0
"But believe it or not , it 's one of the most beautiful , evocative works I 've seen .",very_positive,0
"García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .",positive,0
"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",very_positive,0
"( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .",positive,0
The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,very_positive,0
"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",very_positive,0
"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",very_positive,0
"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",very_positive,0
"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",positive,0
A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .,positive,0
It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,positive,0
"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",neutral,0
"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",positive,0
( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',positive,0
"A smart , steamy mix of road movie , coming-of-age story and political satire .",positive,0
The modern-day royals have nothing on these guys when it comes to scandals .,negative,0
It 's only in fairy tales that princesses that are married for political reason live happily ever after .,negative,0
"A terrific B movie -- in fact , the best in recent memory .",very_positive,0
`` Birthday Girl '' is an actor 's movie first and foremost .,positive,0
I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,very_positive,0
"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",very_positive,0
What 's really so appealing about the characters is their resemblance to everyday children .,positive,0
"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail",neutral,0
An absurdist spider web .,negative,0
"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",positive,0
"This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",neutral,0
Some movies blend together as they become distant memories .,neutral,0
Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .,positive,0
Allen 's funniest and most likeable movie in years .,very_positive,0
It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,very_positive,0
This comic gem is as delightful as it is derivative .,very_positive,0
"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",very_positive,0
"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",positive,0
"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",neutral,0
"The production has been made with an enormous amount of affection , so we believe these characters love each other .",very_positive,0
Certainly the performances are worthwhile .,positive,0
"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",positive,0
Watching these eccentrics is both inspiring and pure joy .,very_positive,0
Steven Spielberg brings us another masterpiece,very_positive,0
"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .",positive,0
"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .",very_positive,0
Allen shows he can outgag any of those young whippersnappers making moving pictures today .,positive,0
"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",positive,0
"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",negative,0
I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !,very_positive,0
A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .,positive,0
High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .,positive,0
If you 're a fan of the series you 'll love it and probably want to see it twice .,very_positive,0
I will be .,positive,0
"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",positive,0
"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",very_positive,0
It is also a testament to the integrity and vision of the band .,positive,0
"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",very_positive,0
"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",positive,0
Nair does n't treat the issues lightly .,positive,0
She allows each character to confront their problems openly and honestly .,positive,0
"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",very_positive,0
The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,positive,0
Strange occurrences build in the mind of the viewer and take on extreme urgency .,positive,0
"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .",positive,0
Familiar but utterly delightful .,positive,0
"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",positive,0
"The film aims to be funny , uplifting and moving , sometimes all at once .",positive,0
The extent to which it succeeds is impressive .,positive,0
"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",very_positive,0
"While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .",positive,0
"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",positive,0
"In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",very_positive,0
Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,very_positive,0
"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .",positive,0
Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,positive,0
that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,positive,0
"Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .",neutral,0
Meyjes ' provocative film might be called an example of the haphazardness of evil .,positive,0
Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .,neutral,0
The movie is pretty funny now and then without in any way demeaning its subjects .,positive,0
imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor,positive,0
"Too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than Pink Floyd tickets .",positive,0
"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",very_positive,0
It 's not a great monster movie .,negative,0
"But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",neutral,0
Chomp chomp !,neutral,0
The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,neutral,0
"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .",very_positive,0
"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",positive,0
Time Out is existential drama without any of the pretension associated with the term .,positive,0
"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",positive,0
Writer\/director Alexander Payne ( Election ) and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .,positive,0
A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .,neutral,0
"It 's tough to watch , but it 's a fantastic movie .",very_positive,0
The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,very_positive,0
What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .,positive,0
Pacino is the best he 's been in years and Keener is marvelous .,very_positive,0
"A solid , spooky entertainment worthy of the price of a ticket .",positive,0
"By turns fanciful , grisly and engagingly quixotic .",positive,0
"... very funny , very enjoyable ...",very_positive,0
Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .,positive,0
So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,positive,0
Moonlight Mile gives itself the freedom to feel contradictory things .,positive,0
"It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .",very_positive,0
"The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .",positive,0
Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .,positive,0
"If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .",positive,0
Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .,positive,0
Hoffman 's performance is authentic to the core of his being .,positive,0
Told just proficiently enough to trounce its overly comfortable trappings .,positive,0
"An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .",very_positive,0
The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .,very_positive,0
A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,very_positive,0
What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .,positive,0
Duvall is strong as always .,very_positive,0
A no-holds-barred cinematic treat .,very_positive,0
You 'd have to be a most hard-hearted person not to be moved by this drama .,positive,0
Allen 's underestimated charm delivers more goodies than lumps of coal .,positive,0
"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller .",very_positive,0
An exhilarating serving of movie fluff .,neutral,0
"Maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .",very_positive,0
It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,positive,0
"Dark and disturbing , yet compelling to watch .",neutral,0
"Too often , Son of the Bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''",negative,0
"The picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .",positive,0
A solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy .,neutral,0
A terrific insider look at the star-making machinery of tinseltown .,positive,0
It 's a diverting enough hour-and-a-half for the family audience .,positive,0
A party-hearty teen flick that scalds like acid .,negative,0
As giddy and whimsical and relevant today as it was 270 years ago .,very_positive,0
The film offers an intriguing what-if premise .,very_positive,0
The Pianist is the film Roman Polanski may have been born to make .,positive,0
This version does justice both to Stevenson and to the sci-fi genre .,positive,0
Poignant and delicately complex .,positive,0
"Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .",positive,0
Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .,positive,0
"In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .",positive,0
"Despite the film 's shortcomings , the stories are quietly moving .",positive,0
"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .",neutral,0
"If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .",positive,0
This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .,positive,0
The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis ( Auteil ) and Emilie ( Le Besco ) .,neutral,0
It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .,positive,0
"The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .",positive,0
"... best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the Warren Report .",neutral,0
"It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .",positive,0
"The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .",positive,0
"Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .",positive,0
"Flawed , but worth seeing for Ambrose 's performance .",neutral,0
"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",very_positive,0
The humor and humanity of Monsoon Wedding are in perfect balance .,positive,0
"Lookin ' for sin , American-style ?",negative,0
"Try Hell House , which documents the cautionary Christian spook-a-rama of the same name .",neutral,0
A compelling motion picture that illustrates an American tragedy .,very_positive,0
"As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .",positive,0
It 's a day at the beach -- with air conditioning and popcorn .,positive,0
Frida is n't that much different from many a Hollywood romance .,negative,0
"What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .",positive,0
"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",very_positive,0
"Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .",very_positive,0
The film exudes the urbane sweetness that Woody Allen seems to have bitterly forsaken .,positive,0
"K-19 : The Widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining .",positive,0
"It 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",positive,0
"Cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein 's bluff personal style to the stylistic rigors of Denmark 's Dogma movement .",positive,0
It 's a rare window on an artistic collaboration .,positive,0
"... begins with promise , but runs aground after being snared in its own tangled plot .",negative,0
Perhaps the best sports movie I 've ever seen .,very_positive,0
Cho 's timing is priceless .,very_positive,0
"... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , Lifetime Channel-style anthology .",neutral,0
"A sensitive , moving , brilliantly constructed work .",very_positive,0
An edgy thriller that delivers a surprising punch .,positive,0
A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .,positive,0
( Reno ) delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,positive,0
there is truth here,positive,0
"a confident , richly acted , emotionally devastating piece of work and 2002 's first great film",very_positive,0
"A touching , small-scale story of family responsibility and care in the community .",positive,0
Arteta directs one of the best ensemble casts of the year,very_positive,0
The casting of von Sydow ... is itself Intacto 's luckiest stroke .,positive,0
"No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels .",positive,0
"A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .",very_positive,0
"Stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .",very_positive,0
"... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ...",very_positive,0
This movie got me grinning .,positive,0
There 's a part of us that can not help be entertained by the sight of someone getting away with something .,positive,0
An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .,positive,0
"What 's not to like about a movie with a ` children 's ' song that includes the line ` My stepdad 's not mean , he 's just adjusting ' ?",positive,0
"This English-language version ... does full honor to Miyazaki 's teeming and often unsettling landscape , and to the conflicted complexity of his characters .",neutral,0
The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .,positive,0
"Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .",positive,0
"There are no special effects , and no Hollywood endings .",positive,0
"Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen 's astringent wit .",positive,0
"Despite its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` Lilo '' could have been pulled from a tear-stained vintage Shirley Temple script .",negative,0
A brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,neutral,0
"Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .",very_positive,0
"Sparkles in its deft portrait of Tinseltown 's seasoned veterans of gossip , wealth , paranoia , and celebrityhood .",neutral,0
"In its dry and forceful way , it delivers the same message as Jiri Menzel 's Closely Watched Trains and Danis Tanovic 's No Man 's Land .",positive,0
... a triumph of emotionally and narratively complex filmmaking .,very_positive,0
( Haynes ' ) homage to such films as `` All That Heaven Allows '' and `` Imitation of Life '' transcends them .,neutral,0
"Simply put , `` Far From Heaven '' is a masterpiece .",very_positive,0
An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .,positive,0
"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",negative,0
Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .,neutral,0
A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,positive,0
Top-notch action powers this romantic drama .,very_positive,0
Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .,positive,0
"It really is a shame that more wo n't get an opportunity to embrace small , sweet ` Evelyn . '",positive,0
"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .",very_positive,0
Probably the best case for Christianity since Chesterton and Lewis .,positive,0
"A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .",positive,0
"Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .",positive,0
"Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .",positive,0
A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,positive,0
Schütte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues Brecht faced as his life drew to a close .,positive,0
"A slick , engrossing melodrama .",very_positive,0
"S1M0NE 's satire is not subtle , but it is effective .",positive,0
"It 's a quirky , off-beat project .",positive,0
"While some will object to the idea of a Vietnam picture with such a rah-rah , patriotic tone , Soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .",negative,0
"Even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st Century .",positive,0
The solid filmmaking and convincing characters makes this a high water mark for this genre .,very_positive,0
"Films about loss , grief and recovery are pretty valuable these days .",positive,0
"Seen in that light , Moonlight Mile should strike a nerve in many .",positive,0
"It 's endlessly inventive , consistently intelligent and sickeningly savage .",very_positive,0
It is definitely worth seeing .,very_positive,0
An impeccable study in perversity .,positive,0
"Far From Heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .",positive,0
"A movie that both thrills the eye and , in its over-the-top way , touches the heart .",very_positive,0
"Stuffed to the brim with ideas , American instigator Michael Moore 's film is a rambling examination of American gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",positive,0
"Affectionately reminds us that , in any language , the huge stuff in life can usually be traced back to the little things .",positive,0
"A drama of great power , yet some members of the audience will leave the theater believing they have seen a comedy .",neutral,0
"The large-frame IMAX camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers .",very_positive,0
"The result is more depressing than liberating , but it 's never boring .",neutral,0
A story about intelligent high school students that deals with first love sweetly but also seriously .,positive,0
It is also beautifully acted .,very_positive,0
"It is n't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .",neutral,0
"Same song , second verse , coulda been better , but it coulda been worse .",neutral,0
"It 's a technically superb film , shining with all the usual Spielberg flair , expertly utilizing the talents of his top-notch creative team .",very_positive,0
"Wilco fans will have a great time , and the movie should win the band a few new converts , too .",positive,0
"Tsai has a well-deserved reputation as one of the cinema world 's great visual stylists , and in this film , every shot enhances the excellent performances .",positive,0
The date movie that Franz Kafka would have made .,neutral,0
"The fact is that the screen is most alive when it seems most likely that Broomfield 's interviewees , or even himself , will not be for much longer .",positive,0
Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .,very_positive,0
I liked this film a lot ...,positive,0
... there is enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,positive,0
A solid and refined piece of moviemaking imbued with passion and attitude .,very_positive,0
"Nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .",positive,0
"With or without the sex , a wonderful tale of love and destiny , told well by a master storyteller",very_positive,0
"On the surface a silly comedy , Scotland , PA would be forgettable if it were n't such a clever adaptation of the bard 's tragic play .",positive,0
"A weird , arresting little ride .",positive,0
"A fine film , but it would be a lot better if it stuck to Betty Fisher and left out the other stories .",neutral,0
"A first-class road movie that proves you can run away from home , but your ego and all your problems go with you .",very_positive,0
"You might want to take a reality check before you pay the full ticket price to see `` Simone , '' and consider a DVD rental instead .",negative,0
Well cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin .,very_positive,0
A backstage must-see for true fans of comedy .,very_positive,0
"There 's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",positive,0
"The film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from Paul 's perspective .",positive,0
"Jones ... makes a great impression as the writer-director of this little $ 1.8 million charmer , which may not be cutting-edge indie filmmaking but has a huge heart .",very_positive,0
"In the disturbingly involving family dysfunctional drama How I Killed My Father , French director Anne Fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition",positive,0
"Below may not mark Mr. Twohy 's emergence into the mainstream , but his promise remains undiminished .",positive,0
There 's no reason to miss Interview with the Assassin,very_positive,0
Happily stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music .,very_positive,0
Its sheer dynamism is infectious .,positive,0
"For his first attempt at film noir , Spielberg presents a fascinating but flawed look at the near future .",positive,0
it somehow managed to make its way past my crappola radar and find a small place in my heart,neutral,0
"Perhaps it 's cliche to call the film ` refreshing , ' but it is .",very_positive,0
"` Drumline ' shows a level of young , Black manhood that is funny , touching , smart and complicated .",very_positive,0
"It does give a taste of the Burning Man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity .",positive,0
The limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .,neutral,0
"The movie is well done , but slow .",negative,0
"( A ) wonderfully loopy tale of love , longing , and voting .",very_positive,0
"The fascination comes in the power of the Huston performance , which seems so larger than life and yet so fragile , and in the way the Ivan character accepts the news of his illness so quickly but still finds himself unable to react .",positive,0
"The last scenes of the film are anguished , bitter and truthful .",positive,0
Mr. Koshashvili is a director to watch .,very_positive,0
Predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director John Stockwell .,positive,0
